Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS,total_steps,sample_rate,noise_multiplier,eps for delta 0.1,eps for delta 0.01,eps for delta 0.001,eps for delta 0.0001,eps for delta 1e-05,eps for delta 1e-06,eps for delta 1e-07,eps for delta 1e-08
CIFAR10,ViT,Head,100,TD,1,0,0.0015091518535373,4.301,152,240,0.1666666666666666,9.84765625,0.0203113259909969,0.3973532920027606,0.6425658868219651,0.835336272156553,0.9986381593092174,1.1426098444827983,1.2727197446735612,1.3922941337780947
CIFAR10,ViT,Head,100,TD,1,0,0.0009540979492118,9.494,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0021252798777879,0.2,807,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0017878873204477,9.508,566,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0016859221945047,7.01,380,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0033521332133957,0.407,651,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0033537318090518,7.273,839,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0024621771574921,8.475,266,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
CIFAR10,ViT,Head,100,TD,1,0,0.0009426541761366,7.632,370,80,0.5,16.9765625,0.0210885789570778,0.3982503590016234,0.6430651776047588,0.8352127240922762,0.9977640580931308,1.14090083220951,1.270115362522621,1.3887484454371035
CIFAR10,ViT,Head,100,TD,1,0,0.0018792951240815,7.934,872,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.0054956474978439,3.685,1000,40,1.0,23.8515625,0.0226562875188376,0.4004727496432097,0.645046575382338,0.8365580641772863,0.9982473759968928,1.1403745292830845,1.26847388575743,1.385911951048597
CIFAR10,ViT,Head,100,TD,1,0,0.00166282039462,9.233,301,120,0.3333333333333333,13.875,0.0209252521908325,0.3983055869883783,0.6435250335090131,0.8361520779846527,0.9992234521848782,1.142906337983209,1.2726850922611648,1.3918962405680166
