Dataset,Model,Parameterization,Shots,HPO,DP,Seed,LR,C,BS
CIFAR10,ViT,Head,100,TD,8,1,0.00034459423610890395,5.24,564
CIFAR10,ViT,Head,100,TD,8,1,0.0012465227254905837,0.2,949
CIFAR10,ViT,Head,100,TD,8,1,0.0018098806930157796,0.892,704
CIFAR10,ViT,Head,100,TD,8,1,0.0014939223666307136,1.092,776
CIFAR10,ViT,Head,100,TD,8,1,0.003581293130230243,7.864,671
CIFAR10,ViT,Head,100,TD,8,1,0.0018633498189288848,7.697,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0007534196901243376,9.102,78
CIFAR10,ViT,Head,100,TD,8,1,0.0004994226008795249,7.096,594
CIFAR10,ViT,Head,100,TD,8,1,0.0016364352625346922,0.98,358
CIFAR10,ViT,Head,100,TD,8,1,0.0029966024485143534,0.2,718
CIFAR10,ViT,Head,100,TD,8,1,0.0011135552262613727,2.919,819
CIFAR10,ViT,Head,100,TD,8,1,0.002381095412331729,0.2,919
CIFAR10,ViT,Head,100,TD,8,1,0.000939912117292494,0.2,380
CIFAR10,ViT,Head,100,TD,8,1,0.0013111042929458785,2.843,978
CIFAR10,ViT,Head,100,TD,8,1,0.0023477842192027036,0.895,217
CIFAR10,ViT,Head,100,TD,8,1,0.002729918900243045,2.955,887
CIFAR10,ViT,Head,100,TD,8,1,0.0038708217565497933,0.2,413
CIFAR10,ViT,Head,100,TD,8,1,0.0036978038347439913,0.2,793
CIFAR10,ViT,Head,100,TD,8,1,0.0018657850329424962,3.942,643
CIFAR10,ViT,Head,100,TD,8,1,0.002095356931776495,1.91,754
CIFAR10,ViT,Head,100,TD,8,1,0.0011595955199082948,0.676,171
CIFAR10,ViT,Head,100,TD,8,1,0.003951513966495793,2.772,991
CIFAR10,ViT,Head,100,TD,8,1,0.002175563516478444,10.0,505
CIFAR10,ViT,Head,100,TD,8,1,0.0028486831886224357,0.371,893
CIFAR10,ViT,Head,100,TD,8,1,0.0019816366572976973,7.883,941
CIFAR10,ViT,Head,100,TD,8,1,0.0025548136901797375,5.047,236
CIFAR10,ViT,Head,100,TD,8,1,0.0024785205450755725,0.2,244
CIFAR10,ViT,Head,100,TD,8,1,0.0032579555991024975,0.2,1000
CIFAR10,ViT,Head,100,TD,8,1,0.0010380278883813563,2.582,432
