Dataset,Shots,Parameterization,Model,MIA,DP,p,FPR
CIFAR100,50,Head,R50,KL-LiRA,-1,0.043780516678941124,0.001
CIFAR100,50,Head,R50,KL-LiRA,-1,0.15333071848178867,0.01
CIFAR100,50,Head,R50,KL-LiRA,-1,0.2304969068242894,0.1
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.18223024819878456,0.001
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.12730770653212764,0.01
CIFAR100,100,Head,ViT,ACC-LiRA,8,0.1870148102145535,0.1
CIFAR100,100,Head,ViT,WB-LiRA,8,0.21354618147909818,0.001
CIFAR100,100,Head,ViT,WB-LiRA,8,0.06740053045810308,0.01
CIFAR100,100,Head,ViT,WB-LiRA,8,0.028105442952806224,0.1
CIFAR100,100,Head,ViT,KL-LiRA,8,0.2533608956192981,0.001
CIFAR100,100,Head,ViT,KL-LiRA,8,0.37971027936302826,0.01
CIFAR100,100,Head,ViT,KL-LiRA,8,0.9195481609589938,0.1
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.40299413586374766,0.001
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.0025540026699133332,0.01
CIFAR100,50,Head,ViT,ACC-LiRA,1,0.3746877783212893,0.1
CIFAR100,50,Head,ViT,WB-LiRA,1,0.5006100424160363,0.001
CIFAR100,50,Head,ViT,WB-LiRA,1,0.6019572237377486,0.01
CIFAR100,50,Head,ViT,WB-LiRA,1,0.612896796917493,0.1
CIFAR100,50,Head,ViT,KL-LiRA,1,0.23416165881971043,0.001
CIFAR100,50,Head,ViT,KL-LiRA,1,0.06708728566619566,0.01
CIFAR100,50,Head,ViT,KL-LiRA,1,0.024870171688003352,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.19504904394879682,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.12478106313519893,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,-1,0.31846607799271276,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.09373407310236276,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.040765715553956,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,-1,0.2122078759858946,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.031613647206882416,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.1444609354297291,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,-1,0.49976203058555346,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.8479496623543539,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.5755292836821766,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,8,0.15163241723056822,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.8960050128511211,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.8206974546924677,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,8,0.26334488531952477,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.28463636692497185,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.40230103449481314,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,8,0.44394868421357636,0.1
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.6128284948170519,0.001
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.17701179594059274,0.01
CIFAR10,50,FiLM,R50,ACC-LiRA,1,0.17071877766747617,0.1
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.4222553317178238,0.001
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.17899667574393913,0.01
CIFAR10,50,FiLM,R50,WB-LiRA,1,0.07455937272121127,0.1
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.4224623928717308,0.001
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.08015091940340414,0.01
CIFAR10,50,FiLM,R50,KL-LiRA,1,0.5743639110212566,0.1
