Model,Dataset,Shots,Parameterization,DP,MIA,FPR,p_value(KS),p_value(Wald),p_value(Welch),mu(ed-td)
ViT,CIFAR100,100,Head,-1,ACC-LiRA,0.1,0.8333333333333334,0.24983333475538488,0.28019436540809817,-0.0013804950969588392
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.001,0.47619047619047616,0.7271146238808476,0.6981676634342622,0.00894530496174277
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.01,0.47619047619047616,0.7438798678404379,0.7132478011363124,0.0030292450614587407
ViT,CIFAR100,100,Head,-1,WB-LiRA,0.1,0.47619047619047616,0.4306162518941163,0.4397429080315053,-0.000957811662523067
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.001,0.8333333333333334,0.3116662000701901,0.3359463350744334,-0.002590703742915784
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.01,0.8333333333333334,0.37126854313601554,0.38809492145842195,-0.0017887350350770104
ViT,CIFAR100,100,Head,-1,KL-LiRA,0.1,0.8333333333333334,0.4405194364667596,0.44835635477406544,-0.0008658494012673268
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.001,0.47619047619047616,0.838039417551823,0.7984445217413747,0.0028424728752628435
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.01,0.47619047619047616,0.6063621459327428,0.5923520232659245,0.0029925434166496456
R50,CIFAR100,50,Head,-1,ACC-LiRA,0.1,0.8333333333333334,0.33347449235771354,0.3551325248963331,-0.007358087294377813
R50,CIFAR100,50,Head,-1,WB-LiRA,0.001,1.0,0.0026196093590804695,0.018536978775335475,-0.03876031630820587
R50,CIFAR100,50,Head,-1,WB-LiRA,0.01,0.8333333333333334,0.2683908405344487,0.2977965914723054,-0.008905246955847268
R50,CIFAR100,50,Head,-1,WB-LiRA,0.1,0.8333333333333334,0.4742121024349504,0.47762887730257475,-0.0007549389742125268
R50,CIFAR100,50,Head,-1,KL-LiRA,0.001,1.0,0.003758384526694615,0.021890258339470562,-0.05368540867981922
R50,CIFAR100,50,Head,-1,KL-LiRA,0.01,1.0,0.03890733372380138,0.07666535924089433,-0.043415499546641256
R50,CIFAR100,50,Head,-1,KL-LiRA,0.1,0.8333333333333334,0.07341389183686874,0.1152484534121447,-0.030616526790141707
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.001,0.8333333333333334,0.05618996205697688,0.09111512409939228,-0.0002306874186536992
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.01,0.8333333333333334,0.030341084460414378,0.06365385326606382,-0.0010889053924408518
ViT,CIFAR100,100,Head,8,ACC-LiRA,0.1,0.8333333333333334,0.05944349234510312,0.09350740510727674,-0.001366842480098801
ViT,CIFAR100,100,Head,8,WB-LiRA,0.001,0.17857142857142855,0.9234061822318886,0.8932269092604509,0.00020709878581737923
ViT,CIFAR100,100,Head,8,WB-LiRA,0.01,0.17857142857142855,0.9869292705952716,0.9662997347709484,0.0007541821049310976
ViT,CIFAR100,100,Head,8,WB-LiRA,0.1,0.03968253968253967,0.9974615137318158,0.9859472785235969,0.0018872803219480982
ViT,CIFAR100,100,Head,8,KL-LiRA,0.001,1.0,0.08630376139892332,0.12668044780964904,-0.0003748633160150592
ViT,CIFAR100,100,Head,8,KL-LiRA,0.01,1.0,0.15018858996929613,0.18985513968151413,-0.001216979811473444
ViT,CIFAR100,100,Head,8,KL-LiRA,0.1,0.47619047619047616,0.45402380965880473,0.4597740804794969,-0.00020065694328552652
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.001,0.8333333333333334,0.18527846507312373,0.20149706793187383,-5.645282689995977e-05
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.01,1.0,0.00010432068317664608,0.0012770013349566666,-0.0005036983499055996
ViT,CIFAR100,50,Head,1,ACC-LiRA,0.1,0.8333333333333334,0.17858586341209526,0.18734388916064465,-0.0004863687380949333
ViT,CIFAR100,50,Head,1,WB-LiRA,0.001,0.47619047619047616,0.7311234735718026,0.7496949787919818,2.9163103848539595e-05
ViT,CIFAR100,50,Head,1,WB-LiRA,0.01,0.47619047619047616,0.7103264359978444,0.6990213881311257,0.00012409771358967876
ViT,CIFAR100,50,Head,1,WB-LiRA,0.1,0.8333333333333334,0.3058157068305116,0.3064483984587465,-0.0002598602790084559
ViT,CIFAR100,50,Head,1,KL-LiRA,0.001,1.0,0.12512562330389015,0.11708082940985522,-5.64470030418999e-05
ViT,CIFAR100,50,Head,1,KL-LiRA,0.01,1.0,0.0709312957652749,0.03354364283309783,-0.00017120839902121966
ViT,CIFAR100,50,Head,1,KL-LiRA,0.1,1.0,0.01644700223804893,0.012435085844001676,-0.000765805886568216
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.001,0.17857142857142855,0.9428917739567507,0.9024754780256016,0.015994050827486915
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.01,0.17857142857142855,0.9720439959306084,0.9376094684324006,0.02100075314573896
R50,CIFAR10,50,FiLM,-1,ACC-LiRA,0.1,0.17857142857142855,0.8803790374560712,0.8407669610036437,0.009656690792344491
