Dataset,Model,Parameterization,Shots,HPO,MIA,DP,Seed,N,TPR@FPR=0.001,TPR@FPR=0.00316,TPR@FPR=0.01,TPR@FPR=0.03162,TPR@FPR=0.1,TPR@FPR=0.31623,TPR@FPR=1.0,Classes
CIFAR10,ViT,Head,100,TD,ACC-LiRA,-1,10,129,0.0074633813306852,0.0190308465739821,0.0455561072492552,0.0904605263157894,0.1836984856007944,0.4103851166832175,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,-1,10,129,0.0291009806355511,0.0627249875868917,0.1096077457795432,0.1709285004965243,0.2857730263157895,0.5314361966236345,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,-1,10,129,0.0806076216484607,0.0997936320754716,0.1308264026812313,0.1839157149950347,0.2934458788480635,0.5367272840119166,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,8,0,129,0.0017829457364341,0.0058372093023255,0.0184728682170542,0.0561395348837209,0.1540930232558139,0.393015503875969,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,8,0,129,0.00184496124031,0.0081240310077519,0.0265271317829457,0.071813953488372,0.1847829457364341,0.4458062015503876,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,8,0,129,0.0053255813953488,0.0140155038759689,0.0339457364341085,0.0830620155038759,0.1942093023255814,0.4615658914728682,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,8,1,129,0.0023581246703279,0.0075785782990474,0.0211610661205746,0.0595348909367339,0.153472028297496,0.3938223339228645,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,8,1,129,0.0023115827360451,0.0072993266933507,0.024488814421794,0.0707747680660274,0.1824986813118619,0.4445607992801514,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,8,1,129,0.0060892364019982,0.0140091222191194,0.0347357969530547,0.0837056688075956,0.1980359303732663,0.4629758912780415,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,8,2,129,0.0020318267828892,0.006397927846884,0.0197754133449142,0.0582560411949002,0.155062505816298,0.3976796848341967,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,8,2,129,0.0032028414554704,0.01002729782548,0.029221081366132,0.074650246611037,0.1809023792536526,0.4315693147625399,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,8,2,129,0.0052889536867574,0.0132766696652914,0.0335251419176722,0.0815212333653876,0.1896268263175853,0.4524149269472965,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,8,3,129,0.0016051862248656,0.0050326853137092,0.0176337849050458,0.0545608225997813,0.1513837945981994,0.3889436013554906,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,8,3,129,0.0030320184247462,0.0086230293818869,0.0251711810913715,0.0701939406158642,0.1833634467303054,0.4465984785626216,1.0,10
CIFAR10,ViT,Head,100,TD,WB-LiRA,8,3,129,0.0059942461440635,0.0142062858162023,0.0340656187721488,0.082709740456121,0.1956931380227517,0.4624332141721659,1.0,10
CIFAR10,ViT,Head,100,TD,ACC-LiRA,8,10,129,0.0015826713008937,0.0056014150943396,0.0186662115193644,0.0558745034756703,0.1515873262164846,0.3893681727904667,1.0,10
CIFAR10,ViT,Head,100,TD,KL-LiRA,8,10,129,0.0026688182720953,0.0085029791459781,0.0277665714995034,0.0737493793445878,0.1876396474677259,0.4478649453823237,1.0,10
